a-j-minter                   1 621345
enyel-de-los-santos          1 660853
eric-haase                   0 606992
eric-orze                    1 679358
eric-wagaman                 0 676572
erick-fedde                  1 607200
erik-miller                  1 669062
ernie-clement                0 676391
ethan-roberts                1 681799
eugenio-suarez               0 553993
evan-sisk                    1 681895
ezequiel-duran               0 677649
ezequiel-tovar               0 678662
felix-bautista               1 642585
fernando-cruz                1 518585
fernando-tatis-jr            0 665487
framber-valdez               1 664285
francisco-lindor             0 596019
fraser-ellard                1 686642
freddie-freeman              0 518692
freddy-fermin                0 666023
freddy-peralta               1 642547
gabe-speier                  1 642100
gabriel-arias                0 672356
gabriel-moreno               0 672515
gage-workman                 0 669398
garrett-cleavinger           1 664076
garrett-crochet              1 676979
garrett-hampson              0 641658
garrett-mcdaniels            1 680729
garrett-mitchell             0 669003
garrett-whitlock             1 676477
gary-sanchez                 0 596142
gavin-lux                    0 666158
gavin-sheets                 0 657757
gavin-williams               1 668909
george-soriano               1 666277
george-springer              0 543807
geraldo-perdomo              0 672695
german-marquez               1 608566
gerson-garabito              1 642520
gio-urshela                  0 570482
gleyber-torres               0 650402
gordon-graceffo              1 700669
graham-ashcraft              1 668933
graham-pauley                0 688363
grant-anderson               1 681982
grant-holmes                 1 656550
greg-jones                   0 675659
greg-weissert                1 669711
gregory-santos               1 666619
gregory-soto                 1 642397
griffin-canning              1 656288
griffin-conine               0 665052
griffin-jax                  1 643377
gunnar-henderson             0 683002
harrison-bader               0 664056
hayden-birdsong              1 806185
hayden-senger                0 663584
hayden-wesneski              1 669713
hector-neris                 1 593576
heliot-ramos                 0 671218
henry-davis                  0 680779
heston-kjerstad              0 677008
hoby-milner                  1 571948
hogan-harris                 1 663687
huascar-brazoban             1 623211
hunter-bigge                 1 685801
hunter-brown                 1 686613
hunter-dobbins               1 690928
hunter-feduccia              0 676439
hunter-gaddis                1 683769
hunter-goodman               0 696100
hunter-greene                1 668881
hunter-harvey                1 640451
hunter-renfroe               0 592669
ian-anderson                 1 666120
ian-gibaut                   1 664139
ian-hamilton                 1 641656
ian-happ                     0 664023
isaac-collins                0 686555
isaac-paredes                0 670623
isiah-kiner-falefa           0 643396
ivan-herrera                 0 671056
j-c-escarra                  0 641555
j-d-davis                    0 605204
j-p-crawford                 0 641487
j-t-ginn                     1 669372
j-t-realmuto                 0 592663
jack-dreyer                  1 676263
jack-flaherty                1 656427
jack-kochanowicz             1 686799
jack-leiter                  1 683004
jack-suwinski                0 669261
jackson-chourio              0 694192
jackson-holliday             0 702616
jackson-jobe                 1 695549
jackson-merrill              0 701538
jackson-rutledge             1 671131
jacob-amaya                  0 676070
jacob-barnes                 1 606930
jacob-degrom                 1 594798
jacob-hurtubise              0 674441
jacob-stallings              0 607732
jacob-webb                   1 657097
jacob-wilson                 0 805779
jacob-young                  0 696285
jake-bauers                  0 641343
jake-bird                    1 656234
jake-burger                  0 669394
jake-cronenworth             0 630105
jake-fraley                  0 641584
jake-irvin                   1 663623
jake-mangum                  0 663968
jake-mccarthy                0 664983
jake-meyers                  0 676694
jake-rogers                  0 668670
jakob-junis                  1 596001
jalen-beeks                  1 656222
james-wood                   0 695578
jameson-taillon              1 592791
jared-koenig                 1 657649
jared-triolo                 0 669707
jarred-kelenic               0 672284
jarren-duran                 0 680776
jason-adam                   1 592094
jason-alexander              1 669920
jason-heyward                0 518792
jasson-dominguez             0 691176
javier-baez                  0 595879
javier-sanoja                0 691594
jazz-chisholm-jr             0 665862
jeff-hoffman                 1 656546
jeffrey-springs              1 605488
jeimer-candelario            0 600869
jeremiah-estrada             1 669093
jeremy-pena                  0 665161
jesse-chavez                 1 445926
jesse-hahn                   1 534910
jesse-winker                 0 608385
jesus-luzardo                1 666200
jesus-tinoco                 1 622786
jhoan-duran                  1 661395
jhonathan-diaz               1 646242
jhonkensy-noel               0 678877
jhonny-pereda                0 640902
ji-hwan-bae                  0 678225
jimmy-herget                 1 623474
jj-bleday                    0 668709
jo-adell                     0 666176
joc-pederson                 0 592626
joe-boyle                    1 671212
joe-mantiply                 1 573009
joe-ross                     1 605452
joe-ryan                     1 657746
joel-payamps                 1 606303
joey-bart                    0 663698
joey-cantillo                1 676282
joey-estes                   1 683155
joey-ortiz                   0 687401
joey-wentz                   1 666214
johan-rojas                  0 679032
john-brebbia                 1 605154
john-king                    1 667463
john-schreiber               1 670167
johnathan-rodriguez          0 671286
jojo-romero                  1 668941
jon-berti                    0 542932
jonah-bride                  0 681146
jonah-heim                   0 641680
jonathan-aranda              0 666018
jonathan-cannon              1 686563
jonathan-india               0 663697
jonathan-ornelas             0 680716
jonny-deluca                 0 676356
jordan-beck                  0 687597
jordan-hicks                 1 663855
jordan-leasure               1 673929
jordan-romano                1 605447
jordan-walker                0 691023
jordan-westburg              0 676059
jorge-alcala                 1 660896
jorge-lopez                  1 605347
jorge-mateo                  0 622761
jorge-polanco                0 593871
jorge-soler                  0 624585
jose-a-ferrer                1 678606
jose-altuve                  0 514888
jose-alvarado                1 621237
jose-berrios                 1 621244
jose-butto                   1 676130
jose-caballero               0 676609
jose-herrera                 0 645444
jose-iglesias                0 578428
jose-leclerc                 1 600917
jose-miranda                 0 669304
jose-quintana                1 500779
jose-ramirez                 0 608070
jose-ruiz                    1 614179
jose-siri                    0 642350
jose-soriano                 1 667755
jose-suarez                  1 660761
jose-tena                    0 677588
jose-trevino                 0 624431
josh-bell                    0 605137
josh-hader                   1 623352
josh-jung                    0 673962
josh-lowe                    0 666139
josh-naylor                  0 647304
josh-smith                   0 669701
josh-winckowski              1 670174
joshua-palacios              0 641943
jp-sears                     1 676664
juan-soto                    0 665742
julian-merryweather          1 657240
julio-rodriguez              0 677594
jung-hoo-lee                 0 808982
junior-caminero              0 691406
jurickson-profar             0 595777
justin-lawrence              1 664875
justin-martinez              1 679885
justin-slaten                1 686580
justin-steele                1 657006
justin-sterner               1 686993
justin-topa                  1 623437
justin-turner                0 457759
justin-verlander             1 434378
justin-wilson                1 458677
justin-wrobleski             1 680736
justyn-henry-malloy          0 669234
kameron-misner               0 670224
ke-bryan-hayes               0 663647
keegan-akin                  1 669211
keibert-ruiz                 0 660688
kenley-jansen                1 445276
kenta-maeda                  1 628317
kerry-carpenter              0 681481
ketel-marte                  0 606466
kevin-gausman                1 592332
kevin-kelly                  1 687330
kevin-newman                 0 621028
kevin-pillar                 0 607680
kirby-yates                  1 489446
kodai-senga                  1 673540
kody-clemens                 0 665019
kody-funderburk              1 681892
korey-lee                    0 686676
kris-bryant                  0 592178
kris-bubic                   1 663460
kristian-campbell            0 692225
kumar-rocker                 1 677958
kyle-farmer                  0 571657
kyle-finnegan                1 640448
kyle-freeland                1 607536
kyle-hart                    1 606996
kyle-hendricks               1 543294
kyle-higashioka              0 543309
kyle-isbel                   0 664728
kyle-leahy                   1 681517
kyle-manzardo                0 700932
kyle-nicolas                 1 693312
kyle-schwarber               0 656941
kyle-stowers                 0 669065
kyle-tucker                  0 663656
kyren-paris                  0 677347
lake-bachar                  1 669199
lamonte-wade-jr              0 664774
landen-roupp                 1 694738
landon-knack                 1 689017
lane-thomas                  0 657041
lars-nootbaar                0 663457
lawrence-butler              0 671732
lenyn-sosa                   0 672820
leo-rivas                    0 660844
leody-taveras                0 665750
liam-hicks                   0 689414
logan-allen                  1 671106
logan-gilbert                1 669302
logan-gillaspie              1 670810
logan-o-hoppe                0 681351
logan-vanwey                 1 701121
logan-webb                   1 657277
lou-trivino                  1 642152
louis-varland                1 686973
lourdes-gurriel-jr           0 666971
luarbert-arias               1 678215
lucas-erceg                  1 668674
lucas-sims                   1 608371
luis-arraez                  0 650333
luis-castillo                1 622491
luis-contreras               1 664351
luis-f-castillo              1 622379
luis-garcia                  1 472610
luis-garcia-jr               0 671277
luis-l-ortiz                 1 682847
luis-matos                   0 682641
luis-peralta                 1 678821
luis-rengifo                 0 650859
luis-robert-jr               0 673357
luis-severino                1 622663
luis-torrens                 0 620443
luis-urias                   0 649966
luisangel-acuna              0 682668
luke-jackson                 1 592426
luke-raley                   0 670042
luke-weaver                  1 596133
luken-baker                  0 663609
mackenzie-gore               1 669022
maikel-garcia                0 672580
manny-machado                0 592518
manuel-margot                0 622534
manuel-rodriguez             1 655889
marc-church                  1 687847
marcell-ozuna                0 542303
marcus-semien                0 543760
marcus-stroman               1 573186
mark-canha                   0 592192
mark-leiter-jr               1 643410
mark-vientos                 0 668901
martin-maldonado             0 455117
martin-perez                 1 527048
mason-englert                1 669438
mason-fluharty               1 689254
mason-miller                 1 695243
mason-montgomery             1 682254
masyn-winn                   0 691026
matt-bowman                  1 621199
matt-chapman                 0 656305
matt-mclain                  0 680574
matt-mervis                  0 670223
matt-olson                   0 621566
matt-sauer                   1 669422
matt-shaw                    0 807713
matt-strahm                  1 621381
matt-thaiss                  0 642136
matt-wallner                 0 670242
matthew-boyd                 1 571510
matthew-liberatore           1 669461
mauricio-dubon               0 643289
max-fried                    1 608331
max-kepler                   0 596146
max-kranick                  1 668820
max-meyer                    1 676974
max-muncy-0-2B               0 691777
max-muncy-1-3B               0 571970
max-scherzer                 1 453286
max-schuemann                0 680474
merrill-kelly                1 518876
michael-a-taylor             0 572191
michael-busch                0 683737
michael-conforto             0 624424
michael-darrell-hicks        1 690382
michael-fulmer               1 605242
michael-harris-ii            0 671739
michael-king                 1 650633
michael-lorenzen             1 547179
michael-massey               0 686681
michael-petersen             1 656848
michael-siani                0 672279
michael-soroka               1 647336
michael-toglia               0 669911
michael-wacha                1 608379
mickey-gasper                0 681508
mickey-moniak                0 666160
miguel-amaya                 0 665804
miguel-andujar               0 609280
miguel-rojas                 0 500743
miguel-vargas                0 678246
mike-clevinger               1 605182
mike-tauchman                0 643565
mike-trout                   0 545361
mike-vasil                   1 678024
mike-yastrzemski             0 573262
miles-mastrobuoni            0 670156
miles-mikolas                1 571945
mitch-garver                 0 641598
mitch-keller                 1 656605
mitch-spence                 1 687765
mitchell-parker              1 680730
mj-melendez                  0 669004
mookie-betts                 0 605141
myles-straw                  0 664702
nasim-nunez                  0 683083
nate-pearson                 1 663878
nathan-eovaldi               1 543135
nathan-lukes                 0 664770
nathaniel-lowe               0 663993
nestor-cortes                1 641482
nick-allen                   0 669397
nick-castellanos             0 592206
nick-fortes                  0 663743
nick-gonzales                0 693304
nick-lodolo                  1 666157
nick-martinez                1 607259
